date,symptom:ageusia,symptom:anosmia,symptom:chills,symptom:cough,symptom:diarrhea,symptom:fatigue,symptom:fever,symptom:headache,symptom:loss of smell,symptom:loss of taste,symptom:muscle weakness,symptom:nasal congestion,symptom:nausea,symptom:shortness of breath,symptom:sore throat,symptom:vomiting,symptom:combined,daily_new_positives
2021-01-01,0,0,3,6,4,16,24,5,0,2,0,0,0,5,1,6,44.55000000000001,15074
2021-01-02,0,1,0,8,1,33,5,0,2,1,0,0,0,1,0,2,32.59,11368
2021-01-03,0,0,4,5,0,10,13,5,1,2,0,0,0,2,0,0,27.41,11209
2021-01-04,0,0,10,9,1,17,22,10,0,2,0,0,6,6,2,1,54.67,12666
2021-01-05,0,0,6,6,3,32,22,7,7,3,0,0,7,6,6,4,60.250000000000014,16648
2021-01-06,0,0,4,6,3,20,17,7,3,4,0,1,3,3,1,5,42.71,17636
2021-01-07,0,2,7,9,0,19,17,4,3,1,0,0,2,4,3,6,45.05,18832
2021-01-08,0,1,6,12,2,28,16,7,1,3,0,0,1,1,4,2,51.88000000000001,16943
2021-01-09,0,0,2,3,1,3,7,2,2,0,1,0,1,1,1,2,15.000000000000002,15355
2021-01-10,0,0,6,3,1,6,13,3,0,1,1,0,0,2,3,0,25.539999999999996,13714
2021-01-11,0,0,22,14,2,21,29,14,0,3,1,0,1,5,12,2,79.74000000000001,15214
2021-01-12,0,1,3,12,8,25,26,5,0,2,1,0,1,4,5,7,60.62000000000001,14577
2021-01-13,0,0,4,10,6,24,31,10,0,2,0,0,3,4,4,9,64.85,13661
2021-01-14,1,1,5,7,0,38,33,12,0,2,0,0,1,8,2,1,72.3,19942
2021-01-15,0,0,8,18,2,21,37,17,1,3,0,0,3,3,2,1,77.22999999999999,15998
2021-01-16,0,2,3,3,1,8,5,3,1,0,0,0,3,1,0,1,17.639999999999997,13842
2021-01-17,0,0,3,6,3,3,8,2,0,1,0,0,0,0,0,0,17.51,12185
2021-01-18,0,0,7,6,0,12,25,8,2,1,0,0,3,4,1,0,45.31,12512
2021-01-19,0,0,16,12,4,17,31,26,1,4,0,1,4,7,6,4,80.72999999999998,13364
2021-01-20,0,2,9,7,2,10,21,7,0,1,0,0,4,3,2,1,43.84,13886
2021-01-21,0,3,9,4,2,17,14,8,3,3,0,0,4,2,3,1,40.68,15144
2021-01-22,0,1,15,10,12,21,26,12,0,2,0,0,11,8,3,9,74.18,13786
2021-01-23,0,0,18,8,3,20,10,5,1,1,0,0,1,2,1,2,44.69,12720
