date,symptom:ageusia,symptom:anosmia,symptom:chills,symptom:cough,symptom:diarrhea,symptom:fatigue,symptom:fever,symptom:headache,symptom:loss of smell,symptom:loss of taste,symptom:muscle weakness,symptom:nasal congestion,symptom:nausea,symptom:shortness of breath,symptom:sore throat,symptom:vomiting,symptom:combined,daily_new_positives
2021-01-01,0.0,0.0,0.001308901,0.002617801,0.001745201,0.006980803,0.010471204,0.002181501,0.0,0.0008726,0.0,0.0,0.0,0.002181501,0.0004363,0.002617801,0.0194371732,15074
2021-01-02,0.0,0.000603865,0.0,0.004830918,0.000603865,0.019927536,0.003019324,0.0,0.001207729,0.000603865,0.0,0.0,0.0,0.000603865,0.0,0.001207729,0.01967995216,11368
2021-01-03,0.0,0.0,0.002271437,0.002839296,0.0,0.005678592,0.007382169,0.002839296,0.000567859,0.001135718,0.0,0.0,0.0,0.001135718,0.0,0.0,0.015565020090000001,11209
2021-01-04,0.0,0.0,0.002441406,0.002197266,0.000244141,0.004150391,0.005371094,0.002441406,0.0,0.000488281,0.0,0.0,0.001464844,0.001464844,0.000488281,0.000244141,0.01334716873,12666
2021-01-05,0.0,0.0,0.001319551,0.001319551,0.000659776,0.007037607,0.004838355,0.001539477,0.001539477,0.000659776,0.0,0.0,0.001539477,0.001319551,0.001319551,0.000879701,0.013250494400000002,16648
2021-01-06,0.0,0.0,0.000791296,0.001186944,0.000593472,0.003956479,0.003363007,0.001384768,0.000593472,0.000791296,0.0,0.000197824,0.000593472,0.000593472,0.000197824,0.00098912,0.00844906162,17636
2021-01-07,0.0,0.000421585,0.001475548,0.001897133,0.0,0.004005059,0.003583474,0.00084317,0.000632378,0.000210793,0.0,0.0,0.000421585,0.00084317,0.000632378,0.001264755,0.009496205189999999,18832
2021-01-08,0.0,0.000219877,0.001319261,0.002638522,0.000439754,0.006156552,0.00351803,0.001539138,0.000219877,0.000659631,0.0,0.0,0.000219877,0.000219877,0.000879507,0.000439754,0.01140721138,16943
2021-01-09,0.0,0.0,0.001018849,0.001528273,0.000509424,0.001528273,0.00356597,0.001018849,0.001018849,0.0,0.000509424,0.0,0.000509424,0.000509424,0.000509424,0.001018849,0.00764136441,15355
2021-01-10,0.0,0.0,0.003444317,0.001722158,0.000574053,0.003444317,0.007462687,0.001722158,0.0,0.000574053,0.000574053,0.0,0.0,0.001148106,0.001722158,0.0,0.014661308940000001,13714
2021-01-11,0.0,0.0,0.004663981,0.002967988,0.000423998,0.004451982,0.006147975,0.002967988,0.0,0.000635997,0.000211999,0.0,0.000211999,0.001059996,0.00254399,0.000423998,0.01690481144,15214
2021-01-12,0.0,0.000179727,0.00053918,0.002156722,0.001437815,0.00449317,0.004672897,0.000898634,0.0,0.000359454,0.000179727,0.0,0.000179727,0.000718907,0.000898634,0.001258088,0.01089503926,14577
2021-01-13,0.0,0.0,0.000718649,0.001796622,0.001077973,0.004311894,0.005569529,0.001796622,0.0,0.000359324,0.0,0.0,0.000538987,0.000718649,0.000718649,0.00161696,0.01165109546,13661
2021-01-14,0.000185667,0.000185667,0.000928333,0.001299666,0.0,0.007055329,0.006126996,0.002227999,0.0,0.000371333,0.0,0.0,0.000185667,0.001485332,0.000371333,0.000185667,0.013423692150000001,19942
2021-01-15,0.0,0.0,0.001542615,0.003470883,0.000385654,0.004049364,0.007134593,0.003278056,0.000192827,0.000578481,0.0,0.0,0.000578481,0.000578481,0.000385654,0.000192827,0.014892017629999999,15998
2021-01-16,0.0,0.00093633,0.001404494,0.001404494,0.000468165,0.003745318,0.002340824,0.001404494,0.000468165,0.0,0.0,0.0,0.001404494,0.000468165,0.0,0.000468165,0.008258426159999999,13842
2021-01-17,0.0,0.0,0.001495513,0.002991027,0.001495513,0.001495513,0.003988036,0.000997009,0.0,0.000498504,0.0,0.0,0.0,0.0,0.0,0.0,0.00872881298,12185
2021-01-18,0.0,0.0,0.00201323,0.001725626,0.0,0.003451251,0.007190106,0.002300834,0.000575209,0.000287604,0.0,0.0,0.000862813,0.001150417,0.000287604,0.0,0.01303134893,12512
2021-01-19,0.0,0.0,0.003581822,0.002686367,0.000895456,0.003805686,0.006939781,0.005820461,0.000223864,0.000895456,0.0,0.000223864,0.000895456,0.001567047,0.001343183,0.000895456,0.01807253224,13364
2021-01-20,0.0,0.000398724,0.001794258,0.001395534,0.000398724,0.00199362,0.004186603,0.001395534,0.0,0.000199362,0.0,0.0,0.000797448,0.000598086,0.000398724,0.000199362,0.00874003088,13886
2021-01-21,0.0,0.000617792,0.001853377,0.000823723,0.000411862,0.003500824,0.002883031,0.001647446,0.000617792,0.000617792,0.0,0.0,0.000823723,0.000411862,0.000617792,0.000205931,0.0083772646,15144
2021-01-22,0.0,0.000221828,0.003327418,0.002218279,0.002661934,0.004658385,0.005767524,0.002661934,0.0,0.000443656,0.0,0.0,0.002440106,0.001774623,0.000665484,0.001996451,0.01645519056,13786
2021-01-23,0.0,0.0,0.009610251,0.004271223,0.001601708,0.010678057,0.005339028,0.002669514,0.000533903,0.000533903,0.0,0.0,0.000533903,0.001067806,0.000533903,0.001067806,0.02386011791,12720
2021-01-24,0.0,0.0,0.001068376,0.001068376,0.001068376,0.010149573,0.004807692,0.001068376,0.0,0.000534188,0.0,0.0,0.000534188,0.001602564,0.0,0.0,0.0138408117,12003
2021-01-25,0.0,0.0,0.002337541,0.002103787,0.000701262,0.003272557,0.00514259,0.003506311,0.000233754,0.000467508,0.000233754,0.0,0.001402525,0.003038803,0.000935016,0.000467508,0.014509115969999998,11064
2021-01-26,0.0,0.0,0.001939655,0.003232759,0.000215517,0.00237069,0.003663793,0.001939655,0.000215517,0.000646552,0.0,0.0,0.0,0.001724138,0.000862069,0.000431034,0.010948275999999998,11028
2021-01-27,0.0,0.0,0.004630604,0.001894338,0.000631446,0.004841086,0.008840244,0.003367712,0.000210482,0.000841928,0.0,0.0,0.000631446,0.001894338,0.000631446,0.001262892,0.018520311180000002,13398
2021-01-28,0.0,0.0,0.00632266,0.002039568,0.000407914,0.002447481,0.004487049,0.001835611,0.000815827,0.000203957,0.0,0.0,0.001019784,0.00061187,0.000203957,0.000407914,0.012871712229999999,12579
2021-01-29,0.0,0.0,0.008039726,0.001418775,0.000236463,0.0018917,0.009458501,0.003310475,0.0,0.0,0.0,0.0,0.002601088,0.00094585,0.001655238,0.001418775,0.01930952974,12804
2021-01-30,0.0,0.0,0.004229607,0.002416918,0.0,0.003625378,0.005438066,0.001208459,0.0,0.0,0.0,0.0,0.001208459,0.00060423,0.00060423,0.0,0.013003020660000001,10793
2021-01-31,0.0,0.0,0.002143623,0.002143623,0.0,0.004287245,0.011789925,0.003215434,0.0,0.0,0.0,0.0,0.001071811,0.001071811,0.0,0.0,0.018113611779999997,8508
2021-02-01,0.0,0.000239292,0.001914334,0.001196458,0.002153625,0.003589375,0.005982292,0.002392917,0.00143575,0.000717875,0.0,0.0,0.000717875,0.001196458,0.000717875,0.000957167,0.01283799844,8215
2021-02-02,0.0,0.0,0.001094291,0.002735729,0.00091191,0.005653839,0.004377166,0.002553347,0.0,0.000547146,0.000182382,0.000182382,0.00091191,0.000729528,0.000729528,0.000729528,0.013093198260000003,5925
2021-02-03,0.0,0.0,0.001534919,0.001726784,0.00038373,0.004221028,0.003837299,0.001726784,0.0,0.00038373,0.000191865,0.0,0.0,0.000191865,0.002302379,0.000575595,0.010495011,7414
2021-02-04,0.0,0.0,0.00209046,0.00209046,0.000570125,0.003420753,0.008171798,0.003990878,0.0,0.000190042,0.0,0.0,0.003990878,0.004941087,0.000380084,0.003990878,0.01914671283,8777
2021-02-05,0.0,0.0,0.001462294,0.001253395,0.000417798,0.002924587,0.00459578,0.003133487,0.0,0.000208899,0.0,0.0,0.002506789,0.003133487,0.000208899,0.00229789,0.01249216668,11252
2021-02-06,0.0,0.0,0.002624672,0.001049869,0.0,0.005249344,0.002099738,0.003149606,0.000524934,0.000524934,0.0,0.0,0.000524934,0.001574803,0.000524934,0.000524934,0.01068241483,10025
