date,count,total_count,ratio,Symp
1/1/21,6,2292,0.002617801,cough
1/2/21,8,1656,0.004830918,
1/3/21,5,1761,0.002839296,
1/4/21,9,4096,0.002197266,
1/5/21,6,4547,0.001319551,
1/6/21,6,5055,0.001186944,
1/7/21,9,4744,0.001897133,
1/8/21,12,4548,0.002638522,
1/9/21,3,1963,0.001528273,
1/10/21,3,1742,0.001722158,
1/11/21,14,4717,0.002967988,
1/12/21,12,5564,0.002156722,
1/13/21,10,5566,0.001796622,
1/14/21,7,5386,0.001299666,
1/15/21,18,5186,0.003470883,
1/16/21,3,2136,0.001404494,
1/17/21,6,2006,0.002991027,
1/18/21,6,3477,0.001725626,
1/19/21,12,4467,0.002686367,
1/20/21,7,5016,0.001395534,
1/21/21,4,4856,0.000823723,
1/22/21,10,4508,0.002218279,
1/23/21,8,1873,0.004271223,
1/24/21,2,1872,0.001068376,
1/25/21,9,4278,0.002103787,
1/26/21,15,4640,0.003232759,
1/27/21,9,4751,0.001894338,
1/28/21,10,4903,0.002039568,
1/29/21,6,4229,0.001418775,
1/30/21,4,1655,0.002416918,
1/31/21,2,933,0.002143623,
2/1/21,5,4179,0.001196458,
2/2/21,15,5483,0.002735729,
2/3/21,9,5212,0.001726784,
2/4/21,11,5262,0.00209046,
2/5/21,6,4787,0.001253395,
2/6/21,2,1905,0.001049869,
2/7/21,2,2081,0.000961076,
2/8/21,10,4291,0.002330459,
2/9/21,10,4582,0.002182453,
2/10/21,20,4766,0.004196391,
2/11/21,8,4943,0.00161845,
2/12/21,11,4818,0.002283105,
2/13/21,3,2042,0.001469148,
2/14/21,4,1799,0.002223457,
2/15/21,7,3642,0.001922021,
2/16/21,7,4597,0.001522732,
2/17/21,5,5074,0.000985416,
2/18/21,4,5509,0.000726085,
2/19/21,5,5201,0.000961354,
2/20/21,5,1844,0.002711497,
2/21/21,2,1861,0.001074691,
2/22/21,13,4901,0.00265252,
2/23/21,7,4881,0.001434132,
2/24/21,8,5305,0.001508011,
2/25/21,10,4991,0.002003606,
2/26/21,8,4776,0.001675042,
2/27/21,2,1889,0.001058761,
2/28/21,4,2121,0.001885903,
3/1/21,4,4271,0.000936549,
3/2/21,17,4596,0.003698869,
3/3/21,8,4491,0.00178134,
3/4/21,10,4540,0.002202643,
3/5/21,7,4514,0.001550731,
3/6/21,4,1908,0.002096436,
3/7/21,3,1965,0.001526718,
3/8/21,7,4117,0.001700267,
3/9/21,8,4122,0.001940805,
3/10/21,20,4410,0.004535147,
3/11/21,10,4664,0.002144082,
3/12/21,13,4388,0.002962625,
3/13/21,2,1953,0.001024066,
3/14/21,7,2009,0.003484321,
3/15/21,18,4251,0.004234298,
3/16/21,17,4325,0.003930636,
3/17/21,6,4552,0.001318102,
3/18/21,4,4780,0.00083682,
3/19/21,11,4402,0.002498864,
3/20/21,12,1944,0.00617284,
3/21/21,4,1852,0.002159827,
3/22/21,6,4151,0.001445435,
3/23/21,6,4479,0.001339585,
3/24/21,9,4457,0.002019295,
3/25/21,1,4810,0.0002079,
3/26/21,2,4315,0.000463499,
3/27/21,3,1978,0.001516684,
3/28/21,0,1874,0,
3/29/21,6,4246,0.001413095,
3/30/21,6,4080,0.001470588,
3/31/21,11,4526,0.002430402,
4/1/21,7,5218,0.00134151,
4/2/21,5,4597,0.001087666,
4/3/21,2,1808,0.001106195,
4/4/21,2,1741,0.001148765,
4/5/21,8,4078,0.001961746,
4/6/21,14,4434,0.00315742,
4/7/21,12,4453,0.002694812,
4/8/21,1,1648,0.000606796,
4/9/21,3,945,0.003174603,
4/10/21,2,390,0.005128205,
4/11/21,0,504,0,
4/12/21,7,1585,0.004416404,
4/13/21,2,3653,0.000547495,
4/14/21,3,5348,0.000560957,
4/15/21,3,5511,0.000544366,
4/16/21,2,4791,0.000417449,
4/17/21,1,1191,0.000839631,
4/18/21,0,862,0,
4/19/21,8,4666,0.001714531,
4/20/21,3,5386,0.000557,
4/21/21,3,5380,0.000557621,
4/22/21,11,5415,0.002031394,
4/23/21,13,5137,0.00253066,
4/24/21,6,1891,0.003172924,
4/25/21,1,2034,0.000491642,
4/26/21,5,5079,0.000984446,
4/27/21,6,5265,0.001139601,
4/28/21,15,5769,0.002600104,
