date,predicted_case_count,actual_case_count
2021-07-11,297.8820120473174,661
2021-07-12,-1228.6026158935274,666
2021-07-13,-3562.870976522854,573
2021-07-14,-1004.8330174918174,643
2021-07-15,129.17142049461108,812
2021-07-16,659.9908294164206,956
2021-07-17,292.7490015943031,981
2021-07-18,520.8368541039508,1156
2021-07-19,339.31137084818783,1142
2021-07-20,-682.6699471457396,823
2021-07-21,156.9618736326338,1144
2021-07-22,1352.1307931004585,1452
2021-07-23,1287.757847525977,1584
2021-07-24,1367.7337671961786,1830
2021-07-25,1828.1233947426063,1846
2021-07-26,1231.1911897971763,1982
2021-07-27,1033.7918598251244,1296
2021-07-28,1406.7323906538768,1679
2021-07-29,1334.5927275393333,2203
2021-07-30,1021.4722968054803,2567
2021-07-31,2210.103823972405,2677
2021-08-01,2814.8024110106053,3050
2021-08-02,1557.5909723980194,2516
2021-08-03,1770.8768333912487,2143
2021-08-04,3395.67267630118,2932
2021-08-05,2939.383860623593,3115
2021-08-06,3317.567229960013,3644
2021-08-07,2121.0322682986407,3700
2021-08-08,2897.354983858777,4385
2021-08-09,2502.8477993837455,3467
2021-08-10,3130.3754125366304,3615
2021-08-11,3928.281107732742,3222
2021-08-12,5012.851705538833,4150
2021-08-13,4547.948887402345,4701
2021-08-14,4251.20766771447,4591
2021-08-15,4815.966686100505,4474
2021-08-16,4582.06724390059,4479
2021-08-17,3949.7311157293925,3575
2021-08-18,4396.387710592763,3567
2021-08-19,4744.188617086995,4737
2021-08-20,5041.75175826215,5138
2021-08-21,5646.897245806966,4832
2021-08-22,4444.217068558528,4990
2021-08-23,5154.957860546563,4340
2021-08-24,4647.612594074742,3816
2021-08-25,5375.04642635938,3199
2021-08-26,4745.481595879362,4272
2021-08-27,4490.399929519477,5407
2021-08-28,5724.911081198201,6348
2021-08-29,5139.494744900374,5524
2021-08-30,4294.450791287118,4246
2021-08-31,5053.343836110003,4147
2021-09-01,4549.003169918784,3789
2021-09-02,4550.281793145958,4612
2021-09-03,4665.297736698632,4943
2021-09-04,5732.289230208571,6010
2021-09-05,5669.306633226076,5030
2021-09-06,4490.691233280433,4495
2021-09-07,4639.7431956024375,3660
2021-09-08,4501.907040051273,3322
2021-09-09,5408.267750978606,3851
2021-09-10,5360.01165286571,5402
2021-09-11,5383.147498824021,6151
2021-09-12,4556.457939106989,5768
2021-09-13,4470.407110977942,5447
2021-09-14,4674.268790111471,3686
2021-09-15,4529.262667158502,4098
2021-09-16,4170.53933641203,4852
2021-09-17,4781.60735495448,6729
2021-09-18,4784.733888713353,5781
2021-09-19,6468.378942633199,5368
2021-09-20,5856.1585456489975,5275
2021-09-21,5123.63493256291,3432
2021-09-22,5048.95333501491,5242
2021-09-23,5776.690645821416,4673
2021-09-24,6487.964530986194,4814
2021-09-25,5734.3394932833,6070
2021-09-26,4397.8752843508755,5288
2021-09-27,5372.776183311573,4314
2021-09-28,3941.7121812138453,4004
2021-09-29,4966.112182419826,4114
2021-09-30,5150.361147317438,5137
2021-10-01,5222.332973090122,4744
2021-10-02,5509.235098530946,5187
2021-10-03,5415.955531066071,4701
2021-10-04,4815.434521416805,4584
2021-10-05,4074.3592682001845,2896
