date,predicted_case_count,actual_case_count
2021-07-05,1317.144943118963,421
2021-07-06,1000.7229425656114,368
2021-07-07,56.04024731690424,255
2021-07-08,-691.206770860369,486
2021-07-09,935.4153452207811,670
2021-07-10,1307.7821471192055,817
2021-07-11,974.1312122320487,661
2021-07-12,1267.4855231616948,666
2021-07-13,505.7703775076261,573
2021-07-14,-268.30296951998207,643
2021-07-15,-449.6802588464516,812
2021-07-16,1722.070022540941,956
2021-07-17,2088.780583829128,981
2021-07-18,1888.6202816197056,1156
2021-07-19,1282.0440289022272,1142
2021-07-20,900.5186921497334,823
2021-07-21,54.51612538364952,1144
2021-07-22,1762.0971663045757,1452
2021-07-23,1596.6829335799994,1584
2021-07-24,1286.3369688609837,1830
2021-07-25,3080.028819257219,1846
2021-07-26,3183.99860379645,1982
2021-07-27,-129.49374944025294,1296
2021-07-28,-814.3976983148759,1679
2021-07-29,3406.845719429648,2203
2021-07-30,3362.5946206690787,2567
2021-07-31,3937.3424793114254,2677
2021-08-01,2927.7784169249016,3050
2021-08-02,3429.4345727841483,2516
2021-08-03,1896.2675531877376,2143
2021-08-04,1970.701660584924,2932
2021-08-05,3447.526662761161,3115
2021-08-06,5464.030808897383,3644
2021-08-07,3679.4597636430863,3700
2021-08-08,3736.45664104339,4385
2021-08-09,4310.524932970955,3467
2021-08-10,4181.428815599605,3615
2021-08-11,4122.322597946471,3222
2021-08-12,4199.3422498628115,4150
2021-08-13,7564.608285130726,4701
2021-08-14,5647.274134593454,4591
2021-08-15,5408.747165123607,4474
2021-08-16,4135.250491886601,4479
2021-08-17,4523.6784351481965,3575
2021-08-18,3920.6761925196715,3567
2021-08-19,5017.10087208023,4737
2021-08-20,4751.588580682589,5138
2021-08-21,4731.946874047143,4832
2021-08-22,6149.84375702011,4990
2021-08-23,4074.6340543475753,4340
2021-08-24,4274.315990192648,3816
2021-08-25,4144.542445346041,3199
2021-08-26,4924.98441434253,4272
2021-08-27,4928.192135085049,5407
2021-08-28,6412.508070710408,6348
2021-08-29,6524.0215134299415,5524
2021-08-30,5177.388882404123,4246
2021-08-31,3719.7157227061525,4147
2021-09-01,4584.826045841204,3789
2021-09-02,5758.6592107985225,4612
2021-09-03,6445.159826872309,4943
2021-09-04,6198.9199793042035,6010
2021-09-05,5821.959281559286,5030
2021-09-06,4348.162699448063,4495
2021-09-07,2886.077647364942,3660
2021-09-08,4519.200309157417,3322
2021-09-09,4203.276111391702,3851
2021-09-10,3903.0741110806403,5402
2021-09-11,5140.087573570262,6151
2021-09-12,1894.603177959687,5768
2021-09-13,5683.482165472144,5447
2021-09-14,4899.675630776181,3686
2021-09-15,4738.903138784271,4098
2021-09-16,4979.627982478074,4852
2021-09-17,5626.275994469531,6729
2021-09-18,6114.880440845391,5781
2021-09-19,5710.293727027821,5368
2021-09-20,3620.9224000773975,5275
2021-09-21,4254.00314179962,3432
2021-09-22,3839.3447415995934,5242
2021-09-23,5868.633041929973,4673
2021-09-24,5704.575011692146,4814
2021-09-25,4945.561104723224,6070
2021-09-26,4723.446488897132,5288
2021-09-27,4442.199342482418,4314
2021-09-28,3161.81635460533,4004
2021-09-29,2420.105801906211,4114
2021-09-30,3878.6819029869757,5137
2021-10-01,5780.759633761587,4744
2021-10-02,5088.6355710146145,5187
