date,predicted_case_count,actual_case_count
2021-07-11,-494.7075253504672,661
2021-07-12,-1144.6006601145064,666
2021-07-13,-2215.691382558257,573
2021-07-14,-74.18170036294941,643
2021-07-15,438.83534452338654,812
2021-07-16,482.48466624591674,956
2021-07-17,580.0912929240503,981
2021-07-18,-77.9107980005324,1156
2021-07-19,244.91533855343732,1142
2021-07-20,81.07928034098086,823
2021-07-21,706.1165891661567,1144
2021-07-22,1173.5391106897755,1452
2021-07-23,625.8047031232081,1584
2021-07-24,971.687252212234,1830
2021-07-25,1765.9422830802037,1846
2021-07-26,1419.7251397907926,1982
2021-07-27,1109.4899227578308,1296
2021-07-28,1607.8779157305066,1679
2021-07-29,1524.4861447378044,2203
2021-07-30,1356.9789399732017,2567
2021-07-31,1889.9841989235642,2677
2021-08-01,1876.3074278421263,3050
2021-08-02,2012.90732605622,2516
2021-08-03,1920.6008484863532,2143
2021-08-04,2655.8707729884654,2932
2021-08-05,2679.81512915496,3115
2021-08-06,3031.5288853870816,3644
2021-08-07,2402.063990998142,3700
2021-08-08,2922.288873364544,4385
2021-08-09,2649.277106220956,3467
2021-08-10,3120.0257590455312,3615
2021-08-11,3818.2408401405046,3222
2021-08-12,4139.870720486947,4150
2021-08-13,4448.956935529765,4701
2021-08-14,4164.576505397592,4591
2021-08-15,4828.0747115136455,4474
2021-08-16,4316.656988338566,4479
2021-08-17,4249.051114747176,3575
2021-08-18,4262.827765670077,3567
2021-08-19,4485.122893919946,4737
2021-08-20,5177.9614838552525,5138
2021-08-21,5057.066919527986,4832
2021-08-22,4540.340448803605,4990
2021-08-23,4877.907632516201,4340
2021-08-24,4527.069232823676,3816
2021-08-25,4774.410283308732,3199
2021-08-26,4778.541139952253,4272
2021-08-27,4864.186543653978,5407
2021-08-28,5124.3385783446165,6348
2021-08-29,5063.090453526802,5524
2021-08-30,4313.313054557266,4246
2021-08-31,4489.123181992307,4147
2021-09-01,4093.6081593926237,3789
2021-09-02,4547.996712945371,4612
2021-09-03,4722.15238896936,4943
2021-09-04,5727.3631728654445,6010
2021-09-05,5370.830019414418,5030
2021-09-06,4384.3021022562125,4495
2021-09-07,4548.487803162508,3660
2021-09-08,4008.0111323100373,3322
2021-09-09,4765.696661605138,3851
2021-09-10,4669.558443486745,5402
2021-09-11,5222.850347861859,6151
2021-09-12,4956.045656009563,5768
2021-09-13,4665.233337643199,5447
2021-09-14,4370.783514398675,3686
2021-09-15,4225.829911771626,4098
2021-09-16,4369.4428080506505,4852
2021-09-17,5371.672986538304,6729
2021-09-18,7910.04748913456,5781
2021-09-19,6331.924700680323,5368
2021-09-20,5948.666981194444,5275
2021-09-21,4655.538467117247,3432
2021-09-22,4849.285208934369,5242
2021-09-23,5724.988314203193,4673
2021-09-24,7108.61043294921,4814
2021-09-25,5868.554147244173,6070
2021-09-26,5299.724080387339,5288
2021-09-27,5766.471438188575,4314
2021-09-28,4003.058505454781,4004
2021-09-29,5435.508696662464,4114
2021-09-30,5130.693168700868,5137
2021-10-01,5303.579952012921,4744
2021-10-02,5786.90510664879,5187
2021-10-03,5385.364403637873,4701
2021-10-04,4841.954565437552,4584
2021-10-05,4503.637809716908,2896
2021-10-06,4683.388677444281,3877
2021-10-07,5598.388873747721,5672
2021-10-08,5197.239849767629,5243
2021-10-09,6313.9149660158855,5654
2021-10-10,5059.296991812886,4804
2021-10-11,4787.343170850266,2785
2021-10-12,3666.2113751352035,5128
2021-10-13,4623.343234807561,3376
2021-10-14,5663.354457484817,4658
2021-10-15,5284.682701697812,4401
2021-10-16,5238.604944488847,5693
2021-10-17,4909.006906436664,5248
2021-10-18,3822.215567805026,4204
2021-10-19,5073.883349631308,3003
2021-10-20,4614.21323373828,2892
2021-10-21,4517.895589441761,4668
2021-10-22,4324.470568348121,4223
2021-10-23,5517.8707574490045,3594
2021-10-24,4947.081760379812,4338
2021-10-25,4454.370295390518,2861
