date,predicted_case_count,actual_case_count
2021-07-11,-869.097935033773,661
2021-07-12,-1248.1717893329705,666
2021-07-13,-2059.1912234119172,573
2021-07-14,581.5402391526982,643
2021-07-15,1104.550022290101,812
2021-07-16,521.7729236049463,956
2021-07-17,853.6883472692452,981
2021-07-18,-12.541626550681485,1156
2021-07-19,162.54881073623073,1142
2021-07-20,749.8013933885122,823
2021-07-21,1978.4617524085602,1144
2021-07-22,1426.3628964919117,1452
2021-07-23,771.2256301869329,1584
2021-07-24,981.8833522201849,1830
2021-07-25,2018.884512194385,1846
2021-07-26,1819.2229825348577,1982
2021-07-27,1621.6851180848626,1296
2021-07-28,1551.580950180739,1679
2021-07-29,1202.0931364376302,2203
2021-07-30,1306.9516626224836,2567
2021-07-31,2166.65991535803,2677
2021-08-01,1975.7476310994598,3050
2021-08-02,2365.4162622324975,2516
2021-08-03,2457.003887390999,2143
2021-08-04,2633.3130867494656,2932
2021-08-05,2490.4402040727405,3115
2021-08-06,3115.8643509844114,3644
2021-08-07,2305.6739370640485,3700
2021-08-08,2723.1801427100395,4385
2021-08-09,2387.4140990833866,3467
2021-08-10,3894.475723274556,3615
2021-08-11,3514.3285290884414,3222
2021-08-12,4141.947529419631,4150
2021-08-13,4211.525319069881,4701
2021-08-14,4294.069377909748,4591
2021-08-15,4759.187090375282,4474
2021-08-16,4282.777001440775,4479
2021-08-17,4809.757282651994,3575
2021-08-18,4747.798148431428,3567
2021-08-19,5044.750008079534,4737
2021-08-20,5378.533299854283,5138
2021-08-21,4850.869424041966,4832
2021-08-22,4411.872246367806,4990
2021-08-23,4855.388333101512,4340
2021-08-24,4556.790381605986,3816
2021-08-25,4765.749357781171,3199
2021-08-26,4667.287075140287,4272
2021-08-27,5125.237515322961,5407
2021-08-28,5223.6687357781975,6348
2021-08-29,5336.782954914891,5524
2021-08-30,4500.9503222688,4246
2021-08-31,4443.918595109756,4147
2021-09-01,4676.966758793923,3789
2021-09-02,4935.363693018667,4612
2021-09-03,5015.786217354528,4943
2021-09-04,6042.773656002838,6010
2021-09-05,6103.5084528567795,5030
2021-09-06,4232.540062064211,4495
2021-09-07,4271.70301778509,3660
2021-09-08,4404.069712103212,3322
2021-09-09,4960.124203173357,3851
2021-09-10,4890.183020918183,5402
2021-09-11,5278.36423376743,6151
2021-09-12,4895.760955497628,5768
2021-09-13,4777.18898374131,5447
2021-09-14,3829.2798985650543,3686
2021-09-15,3287.189884283467,4098
2021-09-16,4120.1452933221135,4852
2021-09-17,5001.529449808789,6729
2021-09-18,7633.557469193843,5781
2021-09-19,6391.732353752694,5368
2021-09-20,5560.350466151195,5275
2021-09-21,4370.751988789084,3432
2021-09-22,4641.8257666643185,5242
2021-09-23,5681.125402967784,4673
2021-09-24,7126.706680141904,4814
2021-09-25,5676.2696083461315,6070
2021-09-26,5393.629072569595,5288
2021-09-27,6093.393000499279,4314
2021-09-28,4456.676520368871,4004
2021-09-29,5369.715992733473,4114
2021-09-30,5039.8906361652525,5137
2021-10-01,5151.104188153486,4744
2021-10-02,5998.083116531247,5187
2021-10-03,5277.361723297729,4701
2021-10-04,5301.745663999938,4584
2021-10-05,4230.709174735534,2896
2021-10-06,4566.482145697865,3877
2021-10-07,5619.524002979095,5672
2021-10-08,5136.395398122597,5243
2021-10-09,6648.8518344954055,5654
2021-10-10,4941.445250433888,4804
2021-10-11,4875.766001393125,2785
2021-10-12,3413.3024754167445,5128
2021-10-13,4788.352020817679,3376
2021-10-14,5462.601095007356,4658
2021-10-15,5249.760286968306,4401
2021-10-16,5226.747926836785,5693
2021-10-17,5032.039011081157,5248
