date,predicted_case_count,actual_case_count
2021-11-03,4207.08,4587
2021-11-04,4772.313,4775
2021-11-05,3829.5435,4913
2021-11-06,4136.8687,4603
2021-11-07,3824.255,3480
2021-11-08,4005.5798,4108
2021-11-09,4314.647,5138
2021-11-10,4928.8096,6545
2021-11-11,5895.001,6151
2021-11-12,6139.267,6477
2021-11-13,5501.5103,5078
2021-11-14,4826.012,4572
2021-11-15,4068.0415,4872
2021-11-16,6030.2285,6114
2021-11-17,6107.6597,7971
2021-11-18,7336.0225,7558
2021-11-19,7400.4497,7097
2021-11-20,5763.0625,6857
2021-11-21,6383.279,5401
2021-11-22,4881.1333,5336
2021-11-23,6487.4585,7166
2021-11-24,6717.4966,8388
2021-11-25,8690.314,6295
2021-11-26,6455.5605,4326
2021-11-27,4036.9158,6147
2021-11-28,5045.53,5277
2021-11-29,5708.462,6593
2021-11-30,6831.4487,9462
2021-12-01,8706.8955,11300
2021-12-02,10368.93,11242
2021-12-03,9875.02,9907
2021-12-04,8988.094,10411
2021-12-05,10283.071,6078
2021-12-06,6623.059,8210
2021-12-07,8781.821,9833
2021-12-08,10122.965,12491
2021-12-09,11134.151,11203
2021-12-10,10347.973,11718
2021-12-11,9532.779,11577
2021-12-12,10185.013,8993
2021-12-13,8552.85,8266
2021-12-14,10521.084,12944
2021-12-15,11054.25,18276
2021-12-16,15357.523,21027
2021-12-17,18737.242,21908
2021-12-18,19789.418,22478
2021-12-19,19494.797,23391
2021-12-20,19573.412,22258
2021-12-21,21026.451,28924
2021-12-22,26765.47,38835
2021-12-23,33740.484,44431
2021-12-24,38181.285,49708
2021-12-25,45902.85,36454
2021-12-26,37924.094,26737
2021-12-27,26205.176,40780
2021-12-28,35265.426,67090
2021-12-29,49647.49,74207
2021-12-30,69471.34,76555
2021-12-31,72573.25,85476
