date,predicted_case_count,actual_case_count
2021-10-25,3242.7212,2203
2021-10-26,2553.701,4284
2021-10-27,4261.319,4285
2021-10-28,4231.557,5064
2021-10-29,4588.597,3977
2021-10-30,3155.9087,3588
2021-10-31,3532.9946,2907
2021-11-01,3152.5833,2961
2021-11-02,3504.2869,4032
2021-11-03,4092.525,4587
2021-11-04,4570.9365,4775
2021-11-05,4330.59,4913
2021-11-06,4166.879,4603
2021-11-07,4271.327,3480
2021-11-08,3623.2632,4108
2021-11-09,4033.4836,5138
2021-11-10,5229.159,6545
2021-11-11,6168.7983,6151
2021-11-12,5477.5938,6477
2021-11-13,5455.796,5078
2021-11-14,4682.6743,4572
2021-11-15,4904.44,4872
2021-11-16,4958.2534,6114
2021-11-17,6401.509,7971
2021-11-18,7340.941,7558
2021-11-19,6897.3604,7097
2021-11-20,5981.296,6857
2021-11-21,6009.1074,5401
2021-11-22,5954.2324,5336
2021-11-23,5698.9907,7166
2021-11-24,7063.381,8388
2021-11-25,8362.177,6295
2021-11-26,6022.558,4326
2021-11-27,4053.5361,6147
2021-11-28,5821.4395,5277
2021-11-29,6495.2393,6593
2021-11-30,6509.573,9462
2021-12-01,8011.4736,11300
2021-12-02,10105.26,11242
2021-12-03,9382.474,9907
2021-12-04,8100.0703,10411
2021-12-05,9230.631,6078
2021-12-06,7477.073,8210
2021-12-07,8424.227,9833
2021-12-08,9909.007,12491
2021-12-09,12141.867,11203
2021-12-10,9603.62,11718
2021-12-11,9890.39,11577
2021-12-12,10333.426,8993
2021-12-13,9612.951,8266
2021-12-14,8493.544,12944
2021-12-15,12283.222,18276
2021-12-16,16385.357,21027
2021-12-17,17852.348,21908
2021-12-18,16985.502,22478
2021-12-19,18430.19,23391
2021-12-20,20860.346,22258
2021-12-21,21034.535,28924
2021-12-22,26148.87,38835
2021-12-23,34680.832,44431
2021-12-24,39714.668,49708
2021-12-25,40886.19,36454
2021-12-26,31362.13,26737
2021-12-27,27134.264,40780
2021-12-28,37554.59,67090
2021-12-29,61168.516,74207
2021-12-30,64408.055,76555
2021-12-31,57221.223,85476
