date,predicted_case_count,actual_case_count
2021-10-30,3573.1016,3588
2021-10-31,3545.9895,2907
2021-11-01,3516.5327,2961
2021-11-02,3366.193,4032
2021-11-03,3377.787,4587
2021-11-04,3492.7546,4775
2021-11-05,3724.946,4913
2021-11-06,3803.6528,4603
2021-11-07,3881.7979,3480
2021-11-08,3832.2075,4108
2021-11-09,3781.649,5138
2021-11-10,3857.686,6545
2021-11-11,4122.311,6151
2021-11-12,4490.582,6477
2021-11-13,4725.792,5078
2021-11-14,4897.5234,4572
2021-11-15,4895.9785,4872
2021-11-16,4847.9673,6114
2021-11-17,4892.9204,7971
2021-11-18,5196.5312,7558
2021-11-19,5600.062,7097
2021-11-20,5845.668,6857
2021-11-21,5917.7876,5401
2021-11-22,5954.128,5336
2021-11-23,5822.247,7166
2021-11-24,5857.7026,8388
2021-11-25,6142.6885,6295
2021-11-26,6442.127,4326
2021-11-27,6368.6377,6147
2021-11-28,6020.7773,5277
2021-11-29,5877.8228,6593
2021-11-30,5726.698,9462
2021-12-01,5813.725,11300
2021-12-02,6337.0464,11242
2021-12-03,7007.7905,9907
2021-12-04,7454.3403,10411
2021-12-05,7669.5503,6078
2021-12-06,7967.0747,8210
2021-12-07,8048.3447,9833
2021-12-08,8248.189,12491
2021-12-09,8732.99,11203
2021-12-10,9306.073,11718
2021-12-11,9509.738,11577
2021-12-12,9608.467,8993
2021-12-13,9617.513,8266
2021-12-14,9461.088,12944
2021-12-15,9345.785,18276
2021-12-16,10183.445,21027
2021-12-17,11392.934,21908
2021-12-18,12693.76,22478
2021-12-19,13817.0,23391
2021-12-20,15068.969,22258
2021-12-21,16275.497,28924
2021-12-22,17517.48,38835
2021-12-23,19837.621,44431
2021-12-24,23202.371,49708
2021-12-25,26704.682,36454
2021-12-26,29733.596,26737
2021-12-27,30831.771,40780
2021-12-28,31321.533,67090
2021-12-29,33883.496,74207
2021-12-30,38950.527,76555
2021-12-31,44546.465,85476
